Elevation_ft_NAVD88,Elevation_ft_NGVD29,Area_acres,Capacity_acrefeet
3125.42,3122.51,0.02,0.12
3125.43,3122.52,0.02,0.12
3125.44,3122.53,0.02,0.12
3125.45,3122.54,0.02,0.12
3125.46,3122.55,0.02,0.12
3125.47,3122.56,0.02,0.12
3125.48,3122.57,0.02,0.12
3125.49,3122.58,0.02,0.12
3125.5,3122.59,0.02,0.12
3125.51,3122.6,0.02,0.12
3125.52,3122.61,0.02,0.12
3125.53,3122.62,0.02,0.12
3125.54,3122.63,0.02,0.12
3125.55,3122.64,0.02,0.12
3125.56,3122.65,0.02,0.12
3125.57,3122.66,0.02,0.12
3125.58,3122.67,0.02,0.12
3125.59,3122.68,0.02,0.12
3125.6,3122.69,0.02,0.12
3125.61,3122.7,0.02,0.12
3125.62,3122.71,0.02,0.12
3125.63,3122.72,0.02,0.12
3125.64,3122.73,0.02,0.12
3125.65,3122.74,0.02,0.12
3125.66,3122.75,0.02,0.12
3125.67,3122.76,0.02,0.12
3125.68,3122.77,0.02,0.12
3125.69,3122.78,0.02,0.12
3125.7,3122.79,0.02,0.12
3125.71,3122.8,0.02,0.12
3125.72,3122.81,0.02,0.12
3125.73,3122.82,0.02,0.12
3125.74,3122.83,0.02,0.12
3125.75,3122.84,0.02,0.12
3125.76,3122.85,0.02,0.12
3125.77,3122.86,0.02,0.12
3125.78,3122.87,0.02,0.12
3125.79,3122.88,0.02,0.12
3125.8,3122.89,0.02,0.12
3125.81,3122.9,0.02,0.12
3125.82,3122.91,0.02,0.13
3125.83,3122.92,0.02,0.13
3125.84,3122.93,0.02,0.13
3125.85,3122.94,0.02,0.13
3125.86,3122.95,0.02,0.13
3125.87,3122.96,0.02,0.13
3125.88,3122.97,0.02,0.13
3125.89,3122.98,0.02,0.13
3125.9,3122.99,0.02,0.13
3125.91,3123,0.02,0.13
3125.92,3123.01,0.02,0.13
3125.93,3123.02,0.02,0.13
3125.94,3123.03,0.02,0.13
3125.95,3123.04,0.02,0.13
3125.96,3123.05,0.02,0.13
3125.97,3123.06,0.02,0.13
3125.98,3123.07,0.02,0.13
3125.99,3123.08,0.02,0.13
3126,3123.09,0.02,0.13
3126.01,3123.1,0.02,0.13
3126.02,3123.11,0.02,0.13
3126.03,3123.12,0.02,0.13
3126.04,3123.13,0.02,0.13
3126.05,3123.14,0.02,0.13
3126.06,3123.15,0.02,0.13
3126.07,3123.16,0.02,0.13
3126.08,3123.17,0.02,0.13
3126.09,3123.18,0.02,0.13
3126.1,3123.19,0.02,0.13
3126.11,3123.2,0.02,0.13
3126.12,3123.21,0.02,0.13
3126.13,3123.22,0.02,0.13
3126.14,3123.23,0.02,0.13
3126.15,3123.24,0.02,0.13
3126.16,3123.25,0.02,0.13
3126.17,3123.26,0.02,0.13
3126.18,3123.27,0.02,0.13
3126.19,3123.28,0.02,0.13
3126.2,3123.29,0.02,0.13
3126.21,3123.3,0.02,0.13
3126.22,3123.31,0.02,0.13
3126.23,3123.32,0.02,0.13
3126.24,3123.33,0.02,0.13
3126.25,3123.34,0.02,0.13
3126.26,3123.35,0.02,0.13
3126.27,3123.36,0.02,0.13
3126.28,3123.37,0.02,0.13
3126.29,3123.38,0.02,0.13
3126.3,3123.39,0.02,0.13
3126.31,3123.4,0.02,0.13
3126.32,3123.41,0.02,0.13
3126.33,3123.42,0.02,0.14
3126.34,3123.43,0.02,0.14
3126.35,3123.44,0.02,0.14
3126.36,3123.45,0.02,0.14
3126.37,3123.46,0.02,0.14
3126.38,3123.47,0.02,0.14
3126.39,3123.48,0.02,0.14
3126.4,3123.49,0.02,0.14
3126.41,3123.5,0.02,0.14
3126.42,3123.51,0.02,0.14
3126.43,3123.52,0.02,0.14
3126.44,3123.53,0.02,0.14
3126.45,3123.54,0.02,0.14
3126.46,3123.55,0.02,0.14
3126.47,3123.56,0.02,0.14
3126.48,3123.57,0.02,0.14
3126.49,3123.58,0.02,0.14
3126.5,3123.59,0.02,0.14
3126.51,3123.6,0.02,0.14
3126.52,3123.61,0.02,0.14
3126.53,3123.62,0.02,0.14
3126.54,3123.63,0.02,0.14
3126.55,3123.64,0.02,0.14
3126.56,3123.65,0.02,0.14
3126.57,3123.66,0.02,0.14
3126.58,3123.67,0.02,0.14
3126.59,3123.68,0.02,0.14
3126.6,3123.69,0.02,0.14
3126.61,3123.7,0.02,0.14
3126.62,3123.71,0.02,0.14
3126.63,3123.72,0.02,0.14
3126.64,3123.73,0.02,0.14
3126.65,3123.74,0.02,0.14
3126.66,3123.75,0.02,0.14
3126.67,3123.76,0.02,0.14
3126.68,3123.77,0.02,0.14
3126.69,3123.78,0.02,0.14
3126.7,3123.79,0.02,0.14
3126.71,3123.8,0.02,0.14
3126.72,3123.81,0.02,0.14
3126.73,3123.82,0.02,0.14
3126.74,3123.83,0.02,0.14
3126.75,3123.84,0.02,0.14
3126.76,3123.85,0.02,0.14
3126.77,3123.86,0.02,0.14
3126.78,3123.87,0.02,0.14
3126.79,3123.88,0.02,0.14
3126.8,3123.89,0.02,0.15
3126.81,3123.9,0.02,0.15
3126.82,3123.91,0.02,0.15
3126.83,3123.92,0.02,0.15
3126.84,3123.93,0.02,0.15
3126.85,3123.94,0.02,0.15
3126.86,3123.95,0.02,0.15
3126.87,3123.96,0.02,0.15
3126.88,3123.97,0.02,0.15
3126.89,3123.98,0.02,0.15
3126.9,3123.99,0.02,0.15
3126.91,3124,0.02,0.15
3126.92,3124.01,0.02,0.15
3126.93,3124.02,0.02,0.15
3126.94,3124.03,0.02,0.15
3126.95,3124.04,0.02,0.15
3126.96,3124.05,0.02,0.15
3126.97,3124.06,0.02,0.15
3126.98,3124.07,0.02,0.15
3126.99,3124.08,0.02,0.15
3127,3124.09,0.02,0.15
3127.01,3124.1,0.02,0.15
3127.02,3124.11,0.02,0.15
3127.03,3124.12,0.02,0.15
3127.04,3124.13,0.02,0.15
3127.05,3124.14,0.02,0.15
3127.06,3124.15,0.02,0.15
3127.07,3124.16,0.02,0.15
3127.08,3124.17,0.02,0.15
3127.09,3124.18,0.02,0.15
3127.1,3124.19,0.02,0.15
3127.11,3124.2,0.02,0.15
3127.12,3124.21,0.02,0.15
3127.13,3124.22,0.02,0.15
3127.14,3124.23,0.02,0.15
3127.15,3124.24,0.02,0.15
3127.16,3124.25,0.02,0.15
3127.17,3124.26,0.02,0.15
3127.18,3124.27,0.02,0.15
3127.19,3124.28,0.02,0.15
3127.2,3124.29,0.02,0.15
3127.21,3124.3,0.02,0.15
3127.22,3124.31,0.02,0.15
3127.23,3124.32,0.02,0.15
3127.24,3124.33,0.02,0.16
3127.25,3124.34,0.02,0.16
3127.26,3124.35,0.02,0.16
3127.27,3124.36,0.02,0.16
3127.28,3124.37,0.02,0.16
3127.29,3124.38,0.02,0.16
3127.3,3124.39,0.02,0.16
3127.31,3124.4,0.02,0.16
3127.32,3124.41,0.02,0.16
3127.33,3124.42,0.02,0.16
3127.34,3124.43,0.02,0.16
3127.35,3124.44,0.02,0.16
3127.36,3124.45,0.02,0.16
3127.37,3124.46,0.02,0.16
3127.38,3124.47,0.02,0.16
3127.39,3124.48,0.02,0.16
3127.4,3124.49,0.02,0.16
3127.41,3124.5,0.02,0.16
3127.42,3124.51,0.02,0.16
3127.43,3124.52,0.02,0.16
3127.44,3124.53,0.02,0.16
3127.45,3124.54,0.02,0.16
3127.46,3124.55,0.02,0.16
3127.47,3124.56,0.02,0.16
3127.48,3124.57,0.02,0.16
3127.49,3124.58,0.02,0.16
3127.5,3124.59,0.02,0.16
3127.51,3124.6,0.02,0.16
3127.52,3124.61,0.02,0.16
3127.53,3124.62,0.02,0.16
3127.54,3124.63,0.02,0.16
3127.55,3124.64,0.02,0.16
3127.56,3124.65,0.02,0.16
3127.57,3124.66,0.02,0.16
3127.58,3124.67,0.02,0.16
3127.59,3124.68,0.02,0.16
3127.6,3124.69,0.02,0.16
3127.61,3124.7,0.02,0.16
3127.62,3124.71,0.02,0.16
3127.63,3124.72,0.02,0.16
3127.64,3124.73,0.02,0.16
3127.65,3124.74,0.02,0.16
